,NTACode,STD_benches_PER_UNIT_LENGTH
0,BK09,3.46879120947
1,BK17,-0.669869207165
2,BK19,-0.752456633176
3,BK21,0.254013710924
4,BK23,-0.545637209891
5,BK25,-0.452030758186
6,BK26,-0.445659764888
7,BK27,-0.717284422529
8,BK28,-0.170810017062
9,BK29,-0.358881387426
10,BK30,-0.488649566625
11,BK31,-0.520133286791
12,BK32,0.720766955892
13,BK33,-0.580732861701
14,BK34,-0.193605482949
15,BK35,0.702519563216
16,BK37,2.28009265692
17,BK38,1.41539803218
18,BK40,0.586741361332
19,BK41,-0.13569147046
20,BK42,-0.173785301431
21,BK43,-0.388813811397
22,BK44,-0.790694968269
23,BK45,-0.783678832822
24,BK46,-1.02276265999
25,BK50,-0.546702031708
26,BK58,-0.418442475891
27,BK60,1.25029071206
28,BK61,0.772489373998
29,BK63,2.35610457664
30,BK64,3.5472516998
31,BK68,0.638312120404
32,BK69,4.23010451287
33,BK72,0.361369954166
34,BK73,0.479394500499
35,BK75,0.649514190454
36,BK76,-0.594539561881
37,BK77,-0.0537523730025
38,BK78,0.367493217725
39,BK79,-0.424942071069
40,BK81,1.64254473702
41,BK82,-0.435060552173
42,BK83,-0.312083885219
43,BK85,-0.0786238252765
44,BK88,-0.165860228767
45,BK90,-0.126215677736
46,BK91,0.0646634221335
47,BK93,-0.0892078982405
48,BK95,0.0728677168003
49,BK96,0.275170282609
50,BK99,-0.882726957033
51,BX01,0.253713182488
52,BX03,-0.749734998994
53,BX05,2.07558768483
54,BX06,0.614829181801
55,BX07,-0.400064164789
56,BX08,-0.323195731031
57,BX09,-0.307905621953
58,BX10,-0.925973591341
59,BX13,-0.54911046806
60,BX14,1.00497892001
61,BX17,0.17279253709
62,BX22,-0.428196333592
63,BX26,-0.0818120502236
64,BX27,0.0818997629226
65,BX28,0.210556297609
66,BX29,-0.025278380156
67,BX30,0.916282280389
68,BX31,-0.701021120657
69,BX33,0.335596615457
70,BX34,-0.0475084524394
71,BX35,1.54760358751
72,BX36,0.717319501626
73,BX37,-0.0514350663072
74,BX39,-0.0347876457407
75,BX40,3.23939157934
76,BX41,2.01148122657
77,BX43,1.54191404838
78,BX44,-0.625370943758
79,BX46,0.0368212079039
80,BX49,-0.886999530805
81,BX52,-0.667811099666
82,BX55,-0.0277493848148
83,BX59,-0.551404828933
84,BX62,-0.839770132726
85,BX63,-0.248009903524
86,BX75,1.58036456315
87,BX99,-0.984404216352
88,MN01,1.07696895039
89,MN03,1.70077161971
90,MN04,1.87809145525
91,MN06,-0.29063627985
92,MN09,0.677007553185
93,MN11,2.28134263982
94,MN12,2.34868297557
95,MN13,1.14059328716
96,MN14,1.42799802347
97,MN15,0.229291101102
98,MN17,-0.265524610839
99,MN19,-0.269302085505
100,MN20,-0.499103215801
101,MN21,0.837580690017
102,MN22,0.491349364025
103,MN23,0.796788250874
104,MN24,2.90694330203
105,MN25,1.69032562514
106,MN27,0.446491509868
107,MN28,0.85362272601
108,MN31,0.185849292114
109,MN32,0.556567089287
110,MN33,0.414415599065
111,MN34,1.98089068688
112,MN35,1.10981492652
113,MN36,0.466867834024
114,MN40,-0.155724108464
115,MN50,0.545902083588
116,MN99,-1.02276265999
117,QN01,-0.690262334283
118,QN02,-0.591223895489
119,QN03,-1.02276265999
120,QN05,-0.943752458751
121,QN06,-0.841612397266
122,QN07,-0.42508397172
123,QN08,-0.976921647891
124,QN10,-0.556716702363
125,QN12,-0.88713239788
126,QN15,-1.02276265999
127,QN17,-0.410244620817
128,QN18,0.219037394115
129,QN19,-0.712023760988
130,QN20,0.000300129764993
131,QN21,-0.816793289799
132,QN22,0.577264433553
133,QN23,-0.460817496159
134,QN25,-0.548026794891
135,QN26,-0.13110695822
136,QN27,-0.100420801591
137,QN28,1.38106868476
138,QN29,1.0546928407
139,QN30,0.253239761907
140,QN31,0.453418333618
141,QN33,-0.820767556253
142,QN34,-0.671735293989
143,QN35,-0.812034883301
144,QN37,-0.931867927773
145,QN38,-0.932395414519
146,QN41,-0.77893406198
147,QN42,-1.02276265999
148,QN43,-0.720064688226
149,QN44,-0.73648861816
150,QN45,-0.515602963441
151,QN46,-0.157285444903
152,QN47,-1.02276265999
153,QN48,-0.841414790371
154,QN49,-0.824105806187
155,QN50,-0.361696102546
156,QN51,-0.749825608701
157,QN52,-0.513950256493
158,QN53,-0.506023698317
159,QN54,-0.323704025434
160,QN55,-0.627709165715
161,QN56,-0.369024364495
162,QN57,-1.02276265999
163,QN60,0.119111470733
164,QN61,-0.316732683502
165,QN62,-1.02276265999
166,QN63,0.246902488838
167,QN66,-1.02276265999
168,QN68,-0.439188914284
169,QN70,0.334245892583
170,QN71,-0.350596007252
171,QN72,-0.662373725604
172,QN76,-0.787377832251
173,QN98,-1.02276265999
174,QN99,-0.999930872212
175,SI01,-0.869855531436
176,SI05,-0.975754592507
177,SI07,-0.906992243583
178,SI08,-0.920866846662
179,SI11,-0.933444533846
180,SI12,-0.596047988147
181,SI14,-0.611983885946
182,SI22,-0.260878978263
183,SI24,-1.02276265999
184,SI25,-0.875045566602
185,SI28,-0.623161397121
186,SI32,-1.02276265999
187,SI35,-0.656583269326
188,SI36,-0.950980472777
189,SI37,-0.797622757674
190,SI45,-0.87402606889
191,SI48,-0.933929266038
192,SI54,-1.02276265999
