,NTACode,STD_TREES_PER_UNIT_LENGTH
1,BK09,1.9733588594
2,BK17,-0.0661966965175
3,BK19,-1.03518202844
4,BK21,-0.753475204312
5,BK23,-0.697279636934
6,BK25,0.856313025831
7,BK26,-0.871934310873
8,BK27,-0.623779972791
9,BK28,0.197805195605
10,BK29,-0.128668569746
11,BK30,1.06668628103
12,BK31,-0.276045085234
13,BK32,-1.16299040558
14,BK33,-0.236171804242
15,BK34,0.303742327763
16,BK35,-0.0705027275788
17,BK37,1.58270489695
18,BK38,0.0728861507529
19,BK40,0.614487668234
20,BK41,1.7314241209
21,BK42,1.66964837214
22,BK43,2.06007529484
23,BK44,0.866369031412
24,BK45,1.03718042719
25,BK46,2.07255713595
26,BK50,0.224945284372
27,BK58,0.382665447592
28,BK60,0.17155319149
29,BK61,0.305349412312
30,BK63,1.18610227817
31,BK64,1.61986245766
32,BK68,-0.27731996501
33,BK69,0.0141997237117
34,BK72,0.723857683554
35,BK73,-0.488682920693
36,BK75,-0.431301842898
37,BK76,0.00710843119474
38,BK77,-0.630410309715
39,BK78,-0.139066838293
40,BK79,-1.11753970045
41,BK81,-0.497187957913
42,BK82,-1.03515183253
43,BK83,-0.592381804149
44,BK85,-0.33014489993
45,BK88,0.565565697448
46,BK90,-0.89445552307
47,BK91,0.179094481568
48,BK93,-1.45394404727
49,BK95,-0.665993059799
50,BK96,0.191912831135
51,BK99,-2.05392882963
52,BX01,-1.2727549089
53,BX03,-0.66575367946
54,BX05,0.065739837656
55,BX06,-1.17367356419
56,BX07,0.246434996293
57,BX08,-0.959028664264
58,BX09,-1.25808698012
59,BX10,0.21830258135
60,BX13,-0.381287735422
61,BX14,-0.770046158985
62,BX17,-0.203679850523
63,BX22,-0.0756595637597
64,BX26,-1.46425663932
65,BX27,-1.38078695061
66,BX28,-0.173671472926
67,BX29,-0.162467134638
68,BX30,-0.797922272045
69,BX31,1.20960112403
70,BX33,-0.0578133062486
71,BX34,-1.34077542312
72,BX35,-0.885909087337
73,BX36,-1.031325111
74,BX37,-0.583162012456
75,BX39,-1.68200183662
76,BX40,-0.478248917062
77,BX41,-0.63565896052
78,BX43,0.103536331344
79,BX44,-0.247377189707
80,BX46,-0.876208308662
81,BX49,-0.207946048656
82,BX52,-1.16658581672
83,BX55,-0.23340070442
84,BX59,-0.980982882194
85,BX62,0.635064805872
86,BX63,-0.97045037822
87,BX75,-1.07939532819
88,BX99,-2.16623963649
89,MN01,-0.493670795765
90,MN03,-0.218675149602
91,MN04,0.144253359497
92,MN06,-1.04675286903
93,MN09,-0.107145509746
94,MN11,0.572523845504
95,MN12,1.09542087723
96,MN13,-0.800219076178
97,MN14,0.0758896967537
98,MN15,-0.179477752883
99,MN17,-1.41221249256
100,MN19,0.290017929589
101,MN20,0.142032175643
102,MN21,0.74585463235
103,MN22,0.554793723019
104,MN23,0.287863933366
105,MN24,-0.910010832052
106,MN25,-1.40777918838
107,MN27,-1.44133825467
108,MN28,-1.35662324504
109,MN31,-0.0630586562413
110,MN32,2.1186984587
111,MN33,-0.854943233801
112,MN34,-0.99110575854
113,MN35,-0.855816674922
114,MN36,-0.933671736083
115,MN40,1.31425399275
116,MN50,-0.74813481422
117,MN99,-2.18710600309
118,QN01,0.0519067798102
119,QN02,0.973062588853
120,QN03,-0.633774509601
121,QN05,0.919560749249
122,QN06,0.804523157664
123,QN07,0.0529867419602
124,QN08,-0.331084860932
125,QN10,-0.884746852781
126,QN12,-1.59092672272
127,QN15,-0.440049256239
128,QN17,0.890406786606
129,QN18,0.34006019442
130,QN19,1.83204895005
131,QN20,1.27746488204
132,QN21,0.91141110366
133,QN22,0.0358024969854
134,QN23,-0.441393447107
135,QN25,0.373491126791
136,QN26,-0.312729872964
137,QN27,-0.241067168878
138,QN28,1.45167601568
139,QN29,0.744673568691
140,QN30,-0.374194360165
141,QN31,-0.764278835234
142,QN33,0.337962594915
143,QN34,0.261178357392
144,QN35,0.332700429699
145,QN37,1.17417874415
146,QN38,1.16985364111
147,QN41,1.10830523521
148,QN42,1.04063634471
149,QN43,1.78990087413
150,QN44,3.18847914932
151,QN45,0.139233454315
152,QN46,1.36614374798
153,QN47,0.12662110801
154,QN48,1.62017216649
155,QN49,0.826287773617
156,QN50,0.157162882479
157,QN51,1.67839107365
158,QN52,1.53201555524
159,QN53,0.933131745587
160,QN54,0.278505483113
161,QN55,0.575443957713
162,QN56,1.13472908159
163,QN57,0.137115245139
164,QN60,-0.102469650798
165,QN61,-0.379188112844
166,QN62,0.484122019394
167,QN63,0.170062327978
168,QN66,0.260416218415
169,QN68,-1.15022776629
170,QN70,0.043748748129
171,QN71,-0.517409770154
172,QN72,-0.355856111059
173,QN76,0.597281016747
174,QN98,-2.20547062527
175,QN99,-2.11797573107
176,SI01,1.97577018158
177,SI05,-1.0004435128
178,SI07,0.166878848582
179,SI08,-0.138645524462
180,SI11,0.354462305467
181,SI12,-0.928292073755
182,SI14,-0.341506432127
183,SI22,-0.622290383723
184,SI24,-0.692506152002
185,SI25,0.19319324674
186,SI28,-1.08744727335
187,SI32,2.3825083972
188,SI35,0.729338177737
189,SI36,0.407646919707
190,SI37,-0.557701121715
191,SI45,0.792236875155
192,SI48,2.96311392347
193,SI54,1.52596966373
